trial,config_hash,score,accuracy,f1,log_loss,duration,timestamp
13,"{""depth"": 7, ""eval_metric"": ""Accuracy"", ""iterations"": 351, ""l2_leaf_reg"": 0.04096125002479361, ""learning_rate"": 0.1597480102972289, ""loss_function"": ""MultiClass"", ""random_strength"": 0.001203205022886496, ""task_type"": ""GPU"", ""verbose"": 0}",-0.34087803703866537,0.721152008227505,0.6761426817724846,8.997960762659165,612.6427834033966,2025-05-30 18:05:13
14,"{""depth"": 8, ""eval_metric"": ""Accuracy"", ""iterations"": 359, ""l2_leaf_reg"": 0.0442633218807144, ""learning_rate"": 0.2952922817956467, ""loss_function"": ""MultiClass"", ""random_strength"": 0.005621424599456346, ""task_type"": ""GPU"", ""verbose"": 0}",-1.0919712825983603,0.7225444035520685,0.6768633591735587,16.517345407075272,653.5139744281769,2025-05-30 18:16:07
15,"{""depth"": 11, ""eval_metric"": ""Accuracy"", ""iterations"": 387, ""l2_leaf_reg"": 0.006804611387078223, ""learning_rate"": 0.14525101143831495, ""loss_function"": ""MultiClass"", ""random_strength"": 0.0015221462753550567, ""task_type"": ""GPU"", ""verbose"": 0}",-0.26387015810621917,0.7461665526848794,0.7049955129631116,8.443350982816971,877.8376421928406,2025-05-30 18:30:47
16,"{""depth"": 7, ""eval_metric"": ""Accuracy"", ""iterations"": 456, ""l2_leaf_reg"": 0.0011733642083517658, ""learning_rate"": 0.138066971693648, ""loss_function"": ""MultiClass"", ""random_strength"": 0.0011704584186065692, ""task_type"": ""GPU"", ""verbose"": 0}",-0.22559701255674608,0.721152008227505,0.6761426817724846,7.845150220680194,749.0003979206085,2025-05-30 18:43:17
17,"{""depth"": 9, ""eval_metric"": ""Accuracy"", ""iterations"": 456, ""l2_leaf_reg"": 0.0010269694300099567, ""learning_rate"": 0.1375879118608889, ""loss_function"": ""MultiClass"", ""random_strength"": 0.0010548666773694323, ""task_type"": ""GPU"", ""verbose"": 0}",-0.22438323091417314,0.7292207654297014,0.6842528941387268,7.8977281665353845,820.2638370990753,2025-05-30 18:57:00
18,"{""depth"": 9, ""eval_metric"": ""Accuracy"", ""iterations"": 483, ""l2_leaf_reg"": 0.0012158439927013502, ""learning_rate"": 0.03930747310062262, ""loss_function"": ""MultiClass"", ""random_strength"": 0.004512746676358781, ""task_type"": ""GPU"", ""verbose"": 0}",-1.1692563604188626,0.7370421648847548,0.6937147423791157,17.415596005900763,838.1076383590698,2025-05-30 19:10:58
19,"{""depth"": 8, ""eval_metric"": ""Accuracy"", ""iterations"": 980, ""l2_leaf_reg"": 0.001025312201085367, ""learning_rate"": 0.13395281681062426, ""loss_function"": ""MultiClass"", ""random_strength"": 0.0010506871213312448, ""task_type"": ""GPU"", ""verbose"": 0}",-0.20555447935227306,0.7225444035520685,0.6768633591735587,7.653176572909543,1372.7131736278534,2025-05-30 19:33:53
20,"{""depth"": 8, ""eval_metric"": ""Accuracy"", ""iterations"": 963, ""l2_leaf_reg"": 0.0028688713861766022, ""learning_rate"": 0.06016772248838696, ""loss_function"": ""MultiClass"", ""random_strength"": 0.009165331489631098, ""task_type"": ""GPU"", ""verbose"": 0}",-1.2269017611511206,0.7297878222818039,0.6825638176403227,17.91842566079434,1342.6471598148346,2025-05-30 19:56:18
21,"{""depth"": 7, ""eval_metric"": ""Accuracy"", ""iterations"": 455, ""l2_leaf_reg"": 0.001208918399106382, ""learning_rate"": 0.12983940606624642, ""loss_function"": ""MultiClass"", ""random_strength"": 0.0010493845093907165, ""task_type"": ""GPU"", ""verbose"": 0}",-0.1830257440753808,0.721152008227505,0.6761426817724846,7.419437583296348,723.3050272464752,2025-05-30 20:08:24
22,"{""depth"": 9, ""eval_metric"": ""Accuracy"", ""iterations"": 575, ""l2_leaf_reg"": 0.0033079853764548016, ""learning_rate"": 0.120231470070431, ""loss_function"": ""MultiClass"", ""random_strength"": 0.002344093053016145, ""task_type"": ""GPU"", ""verbose"": 0}",-0.13516747565452011,0.7292207654297014,0.6842528941387268,7.005570466348224,933.2455871105194,2025-05-30 20:23:58
23,"{""depth"": 8, ""eval_metric"": ""Accuracy"", ""iterations"": 584, ""l2_leaf_reg"": 0.0033843349953130435, ""learning_rate"": 0.10654989137608899, ""loss_function"": ""MultiClass"", ""random_strength"": 0.0026172103141312813, ""task_type"": ""GPU"", ""verbose"": 0}",-0.07091106373651984,0.7225444035520685,0.6768633591735587,6.306742798760768,900.5008997917175,2025-05-30 20:39:01
24,"{""depth"": 10, ""eval_metric"": ""Accuracy"", ""iterations"": 609, ""l2_leaf_reg"": 0.009779074578303465, ""learning_rate"": 0.10587589023362351, ""loss_function"": ""MultiClass"", ""random_strength"": 0.0019879163588193945, ""task_type"": ""GPU"", ""verbose"": 0}",-1.0633870374063266,0.7596915266984853,0.7247409908551758,16.571613528665107,1069.9775075912476,2025-05-30 20:56:54
25,"{""depth"": 7, ""eval_metric"": ""Accuracy"", ""iterations"": 599, ""l2_leaf_reg"": 0.00366165059663291, ""learning_rate"": 0.06340990155682813, ""loss_function"": ""MultiClass"", ""random_strength"": 0.0030031291678762773, ""task_type"": ""GPU"", ""verbose"": 0}",-0.30463389804876906,0.7285285294295942,0.6859270366849438,8.70416467563006,874.4611303806305,2025-05-30 21:11:30
26,"{""depth"": 5, ""eval_metric"": ""Accuracy"", ""iterations"": 753, ""l2_leaf_reg"": 0.17490901530252176, ""learning_rate"": 0.11230970271965719, ""loss_function"": ""MultiClass"", ""random_strength"": 0.007466838034497682, ""task_type"": ""GPU"", ""verbose"": 0}",-0.8403941133104035,0.7526524265930957,0.7230224144505768,14.30670813179768,1034.9744639396667,2025-05-30 21:28:46
27,"{""depth"": 8, ""eval_metric"": ""Accuracy"", ""iterations"": 527, ""l2_leaf_reg"": 0.0024520514995989185, ""learning_rate"": 0.16586662700259786, ""loss_function"": ""MultiClass"", ""random_strength"": 0.0028299708398479713, ""task_type"": ""GPU"", ""verbose"": 0}",-0.37527788298147424,0.7225444035520685,0.6768633591735587,9.350411067021687,842.9539413452148,2025-05-30 21:42:52
28,"{""depth"": 9, ""eval_metric"": ""Accuracy"", ""iterations"": 413, ""l2_leaf_reg"": 0.01602008780708228, ""learning_rate"": 0.07642313103031886, ""loss_function"": ""MultiClass"", ""random_strength"": 0.03042503297539122, ""task_type"": ""GPU"", ""verbose"": 0}",-0.6767259055343348,0.7594091000364708,0.7260366360366013,12.70910874020766,734.1860957145691,2025-05-30 21:55:07
29,"{""depth"": 6, ""eval_metric"": ""Accuracy"", ""iterations"": 620, ""l2_leaf_reg"": 0.00670219955198428, ""learning_rate"": 0.12159142268832954, ""loss_function"": ""MultiClass"", ""random_strength"": 0.7808667809353245, ""task_type"": ""GPU"", ""verbose"": 0}",-1.8696633989647842,0.7130295693307525,0.6659356740998705,24.21250981233496,875.4819157123566,2025-05-30 22:09:45
30,"{""depth"": 10, ""eval_metric"": ""Accuracy"", ""iterations"": 753, ""l2_leaf_reg"": 0.0019564641647708695, ""learning_rate"": 0.03875682588797996, ""loss_function"": ""MultiClass"", ""random_strength"": 0.01207524023512435, ""task_type"": ""GPU"", ""verbose"": 0}",-1.3712057367238546,0.743049169947384,0.7022541201253187,19.493276910996613,1409.8920912742615,2025-05-30 22:33:15
31,"{""depth"": 8, ""eval_metric"": ""Accuracy"", ""iterations"": 917, ""l2_leaf_reg"": 0.004542435435686411, ""learning_rate"": 0.12875295083299867, ""loss_function"": ""MultiClass"", ""random_strength"": 0.0022070733513904093, ""task_type"": ""GPU"", ""verbose"": 0}",-0.17888140940962857,0.7225444035520685,0.6768633591735587,7.386445878534083,1363.260930776596,2025-05-30 22:56:01
32,"{""depth"": 8, ""eval_metric"": ""Accuracy"", ""iterations"": 899, ""l2_leaf_reg"": 0.005612760836523548, ""learning_rate"": 0.1253931414946509, ""loss_function"": ""MultiClass"", ""random_strength"": 0.00220710133662063, ""task_type"": ""GPU"", ""verbose"": 0}",-0.1618698964586293,0.7225444035520685,0.6768633591735587,7.216330802688244,1270.3261036872864,2025-05-30 23:17:14
33,"{""depth"": 8, ""eval_metric"": ""Accuracy"", ""iterations"": 897, ""l2_leaf_reg"": 0.006832814666970705, ""learning_rate"": 0.11518044839301125, ""loss_function"": ""MultiClass"", ""random_strength"": 0.002418653553039158, ""task_type"": ""GPU"", ""verbose"": 0}",-1.3999608220428665,0.7277514341568699,0.696694392449605,19.697403199843436,1285.0179302692413,2025-05-30 23:38:41
34,"{""depth"": 9, ""eval_metric"": ""Accuracy"", ""iterations"": 906, ""l2_leaf_reg"": 0.004374263566457645, ""learning_rate"": 0.08160565711093941, ""loss_function"": ""MultiClass"", ""random_strength"": 0.0036153518289496283, ""task_type"": ""GPU"", ""verbose"": 0}",-0.8325901172224771,0.7379635209209284,0.6934391556476368,14.05151318005639,1536.6207168102264,2025-05-31 00:04:20
35,"{""depth"": 8, ""eval_metric"": ""Accuracy"", ""iterations"": 773, ""l2_leaf_reg"": 0.015883023812722052, ""learning_rate"": 0.15141658325154037, ""loss_function"": ""MultiClass"", ""random_strength"": 0.0020681514002149548, ""task_type"": ""GPU"", ""verbose"": 0}",-0.2974438440856987,0.7225444035520685,0.6768633591735587,8.572070260630936,1300.6075508594513,2025-05-31 00:26:04
